id,name,province,city,district,address,phone,geo_lat,geo_lng,google_map_id,gaode_map_id,place_id,map_type
1,安顺阳光妇科医院,贵州省,安顺市,西秀区,中华北路与西水路交叉口路西,,105.924767,26.251054,ChIJd57sOyAtxzYRrivDzjfGwxM,B03550I6R8,B03550I6R8,gaode
2,安阳协和医院,河南省,安阳市,龙安区,文明大道西段85号,0372-3661777,114.334916,36.090769,ChIJ_7MijgcI3DUR6nw4IdmvNyo,B0174021QW,B0174021QW,gaode
3,蚌埠澳美佳女子医院,安徽省,蚌埠市,龙子湖区,蚌埠市龙子湖区交通路143号,+86 552 315 1111,117.377263,32.950353,ChIJ89b5MHFFyTURZ2gzoGoCqyE,,ChIJ89b5MHFFyTURZ2gzoGoCqyE,google
4,包头都市妇产医院,内蒙古自治区,包头市,昆都仑区,阿尔丁大街神华蓝天商厦对面(市政府阿尔丁广场西南道6号),0472-5988666;0472-5143311,109.838867,40.653687,ChIJkX5vgR3uDzYRYre4gEBCpTE,B01D8028NG,B01D8028NG,gaode
5,包头生殖健康服务中心,内蒙古自治区,包头市,昆都仑区,乌兰道7号小肥羊大厦往东50米,0472-5914999;4000120982,109.838068,40.659398,ChIJvUJ-_ePxDzYRhqr7ZuU5zJg,B01D801UP4,B01D801UP4,gaode
6,包头现代女子妇产医院,内蒙古自治区,包头市,青山区,钢铁大街36号(万达广场斜对面),0472-6969098;0472-6969120,109.855748,40.655514,ChIJNXPt1vjxDzYRAlpTE_yxaWg,B01D801W6W,B01D801W6W,gaode
7,包头新世纪男科医院,内蒙古自治区,包头市,青山区,少先路21号,0472-5999999;0472-5109199,109.870359,40.651305,ChIJgf5pCQnyDzYRXOm_5przyNI,B01D80P1XQ,B01D80P1XQ,gaode
8,宝鸡市第三人民医院,陕西省,宝鸡市,金台区,宏文路48号,0917-3412538;0917-3131325;13571162120,107.210141,34.367326,ChIJD9Xkr2XeYDYR4UwDazyjVEQ,B03950PBWS,B03950PBWS,gaode
9,宝鸡远大肛肠医院,陕西省,宝鸡市,渭滨区,迎宾路1号火车站向东50米,0917-3533101,107.154276,34.372044,ChIJeRE2dqbdYDYRMJ4UBoKpdUM,B03950PK0Q,B03950PK0Q,gaode
10,保定白癜风医院,河北省,保定市,莲池区,三丰中路379号(果品批发市场对过),0312-5930000;0312-5936666;4000312026,115.493689,38.847368,ChIJVdm6d-qP5TUROxFpVjH9vWw,B0FFF6OQPJ,B0FFF6OQPJ,gaode
11,保定东大肛肠医院,河北省,保定市,莲池区,天威东路1266号(客运中心站)南行300米,0312-5071007;0312-5071003,115.542571,38.846561,ChIJP_X9u2eP5TURkQJaTM3JZ-s,B01380QQB1,B01380QQB1,gaode
